Part_id,Gender,Tiredness,PriorKnowledge
P24_01,0,0,1
P24_02,0,1,0
P24_03,0,0,0
P24_04,1,1,0
P24_05,0,1,0
P24_06,1,0,0
P24_07,0,0,1
P24_08,1,1,0
P24_09,0,0,0
P24_10,0,0,0
P24_11,0,0,1
P24_12,0,1,1
P24_13,0,0,0
P24_14,0,0,0
P24_16,0,0,1
P24_17,1,0,0
P24_18,1,0,0
P24_19,0,0,0
P24_20,0,1,0
P24_21,0,1,1
P24_22,0,1,1
P24_23,0,1,0
P24_24,0,1,0
P24_25,0,0,0
P24_26,0,1,1
P24_27,0,1,0
P24_28,0,0,0
P24_29,0,0,0
P23_01,0,0,0
P23_02,1,0,1
P23_03,0,0,0
P23_04,0,1,0
P23_05,0,1,0
P23_06,1,0,0
P23_07,0,0,0
P23_08,0,1,0
P23_09,1,0,0
P23_10,0,1,1
P23_11,0,1,0
P23_12,0,1,0
P23_13,1,0,0
P23_14,0,0,1
P23_15,0,1,0
P23_16,1,1,1
P23_17,0,1,0
P23_18,0,1,0
P23_19,0,0,1
P23_20,1,1,0
P23_21,0,0,0
P23_22,0,0,0
P23_23,1,0,0
P23_24,0,0,1
P23_25,1,0,0
